🙃,0,1
😛,0,1
😩,0,1
😫,0,1
😖,0,1
😣,0,1
☹,0,1
🙁,0,1
😕,0,1
🧐,0,1
🤨,0,1
😟,0,1
😔,0,1
😞,0,1
😒,0,1
😏,0,1
😧,0,1
😦,0,1
😯,0,1
😑,0,1
😐,0,1
🤬,0,1
😡,0,1
😠,0,1
😤,0,1
🙄,0,1
😴,0,1
😪,0,1
😓,0,1
😭,0,1
🤤,0,1
😥,0,1
😢,0,1
😰,0,1
😨,0,1
😱,0,1
👿,0,1
🤡,0,1
😈,0,1
💩,0,1
🤕,0,1
🤒,0,1
😷,0,1
🤧,0,1
🤢,0,1
🤥,0,1
😬,0,1
🤮,0,1
😾,0,1
😿,0,1
👎,0,1
🖕,0,1
🙅,0,1
🙅,0,1
💁,0,1
💁,0,1
🗣,0,1
👅,0,1
🤦,0,1
🤦,0,1
🤷,0,1
🤷,0,1
🙎,0,1
🙎,0,1
🙍,0,1
🙍,0,1
💤,0,1
⚠,0,1
⁉,0,1
‼,0,1
💔,0,1
❌,0,1
🚫,0,1
💢,0,1
❓,0,1
❗,0,1
🖕🏻,0,1
👎🏻,0,1
👎🏼,0,1
🖕🏼,0,1
🖕🏽,0,1
👎🏽,0,1
🖕🏾,0,1
👎🏾,0,1
🖕🏿,0,1
👎🏿,0,1
Cannot use in call for listening music only😔😔😔,0,1
"I bought two earphone and each earphone, the other side is not working😔😔.",0,1
the items are defective👎🏽👎🏽 ,0,1
Bobo😡 ,0,1
Sira nung diniliver bulok sayang pera mo😡😡,0,1
Sira mic tapos ilang days lang nasira na pati yung earphones😡😡 ,0,1
panget ng item parehas di tumutunog wag kayong bibili dito napaka panget ng product🙃,0,1
"unang order ng kaibigan ko parehong right nakuha nya, nung umorder naman ako parehong left naman, taena trinashtalk tuloy kami sa search and destroy sa cod, tinawag kaming bingi amp😑😑😑",0,1
"Mahina ang isang side ng headset, basag ang Bass👎🏾👎🏾.",0,1
"Scratches, defective item late delivery, scam and rude seller🤬.",0,1
"Sira po yung earphone, pawala wala sya tapos minsan hihina at lalakas tapos minsan mawawala nlg sya sa pag connect sa phone mo, siguro hinahagis ng mga jnt hnd kasi naka bubble wrap, hayss😭😭😭",0,1
"Item received, I expected more in sound quality. 3 days after using it, still no stereo sound, poor quality product. Very disappointed!❌❌❌",0,1
"Mahina ang isang side ng headset,basag ang Bass💔💔. ??",0,1
1 lang gumagana🤷🤷🤷 . buti nalang tatlo binili ko ,0,1
Not that good👎👎,0,1
mali ung binigayna color😾😾. ,0,1
faded pa yung kulay ..mukhang luma..super disappointed ako sa order ko😓😓..,0,1
Kulang isa wallet order 🤦🤦🤦,0,1
Sira namn yong item 👎🏼👎🏼??,0,1
May sira at durog 🤬,0,1
My damage po 🤢,0,1
Not quality ðŸ¤¦â€â™€ï¸??,0,1
pangit sa personal🤦🤦,0,1
"ki pangit ng dumating ,. Anuh ba yan😖😖",0,1
May sira yung wallet🤬,0,1
SIRA Naman ..ayw not irefund🤬🤬🤬,0,1
Hindi dumating...hayzt😬😬,0,1
Not satisfied😤😤..,0,1
May scratch po yong wallet 😡😡,0,1
wrong color 🙅🙅🙅!!!!,0,1
Ang bilis masira 💩💩,0,1
Cheap quality😑😑😑,0,1
Wrong color😤😤,0,1
Wrong color🙅🙅,0,1
medyo mahirap lang isara😒😒. ,0,1
Received Damaged and Dirty Item🤕🤕,0,1
I'm so disappointed😦 .,0,1
Mali Yung binigay niyong kulay😐😐.,0,1
Ung isang item po may damage d maisara 🤕??,0,1
Panget HAHAHAAH😈😈😈,0,1
Panget ung product😥😥,0,1
Hindi sya naglalock mabuti. Iâ€™m disappointed. Can I refund this?Â ,0,1
Damaged😣😣,0,1
Sira ang dumating sa wallet sa akin Disappointed 😕😕,0,1
No comment 😑😑,0,1
Wrong color😠😠😠.,0,1
Sobrang nipis😧,0,1
sira yun wallet 😧,0,1
the seller is not helpful🤦,0,1
May gasgas po sya sa gilid🙃,0,1
It's hard to open👎🏾👎🏾,0,1
"Manipis, madaling masira🙅🙅",0,1
Ang nipis ng folder👎🏾👎🏾,0,1
Damage items 👎🏾👎🏾,0,1
Sira na agad di pa natagal 😧??,0,1
Very disappointing.kulang ung item na deliver😧😧,0,1
"hindi ko recieved, wala sa pinadala nila😧",0,1
haizt seller not responsive pa🙃🙃.,0,1
"Products arrived incomplete, di ko na receive tong card holder🙃",0,1
Luma na ata ito. Super dumi na🙃,0,1
Damage🙃,0,1
Low quality👎🏼,0,1
I don't recommend this kahit maingat kayo sa gamit👎🏼.,0,1
Malayong malayo nung nasa picture🤥🤥🤥🤥,0,1
Very poor quality. Sure na agad masisira agad😑😑.,0,1
Low quality products👎🏼,0,1
Item different from picture🤥🤥,0,1
No good👎🏼👎🏼,0,1
Will not order again❌❌,0,1
Sayang lang yung pera. 👎??????,0,1
Didnâ€™t get the item lol,0,1
Hindi tama yung binigay🤷🤷,0,1
damage!!!!!! 🤬????????,0,1
Kulang ng wallet😥😥,0,1
The items are not clean and sealed😢😢. ,0,1
Unresponsive seller😡😡,0,1
Kulang ang item na na receive ko🙃.,0,1
Kulang yung pinadala🙃🙃,0,1
Wala akong na received👎🏿👎🏿,0,1
Ang pangit naman po ng binigay nyo mali pa mga tahi😡,0,1
Damage🚫🚫,0,1
Hindi maganda kasi sira yung zipper useless ..😧😧 ??,0,1
"very poor not accomodating seller 💤💤💤, ",0,1
Wag po kayo bibili dito⚠⚠⚠,0,1
ANU TO?? Hindi naman to order ko❗❗❗❗,0,1
kulang po yung items na pinadala nila ❓❓. ,0,1
Sayang lang po yung pera kuh 🤬. ,0,1
very disappointed 🤦,0,1
Wrong color! Tsk😡😡,0,1
Wala akong na received🤢🤢,0,1
Damage 😢😢,0,1
Hindi maganda kasi sira yung zipper useless 🤬,0,1
Walang kwenta!!!🤬🤬🤬 Sa picture lang maganda!!!,0,1
BASURA 💩????????,0,1
Will not order again..😠😠 kausap ko si seller n different color isend pero same color p din binigay nya..,0,1
Ang pangit😡,0,1
Butas 😡!!!,0,1
Grrrrrrrrr ðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ‘½ðŸ˜ˆðŸ‘½ðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ‘½ðŸ‘½ðŸ‘½ðŸ‘½ðŸ‘½ðŸ‘½ðŸ‘½ðŸ‘½ðŸ˜ˆðŸ˜ˆðŸ‘½ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜¬ðŸ˜¬ðŸ˜¬ðŸ˜¬ðŸ˜¬ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜ ðŸ˜©ðŸ˜©ðŸ˜ ðŸ˜ ,0,1
Kulang yung items wala yung wallet ðŸ¤¦â€â™€ï¸,0,1
WRONG ITEMS RECEIVED.😡😡 TOO MUCH OF A HASSLE TO RETURN THE ITEMS.Â ,0,1
Low quality wallet👎👎,0,1
Dissapointed🤬🤬!!!,0,1
The wallet was dirty.  😡😡😡,0,1
Ang panget po ng binigay🤬,0,1
Iba yung dumating ðŸ¤¦â€â™‚ï¸,0,1
Pangit 😡😡,0,1
